ID,Country,Year,Series,Value
4,Afghanistan,2005,Consumer price index: General,71.1
4,Afghanistan,2010,Consumer price index: General,100
4,Afghanistan,2014,Consumer price index: General,133.1
4,Afghanistan,2015,Consumer price index: General,132.1
4,Afghanistan,2016,Consumer price index: General,137.9
4,Afghanistan,2017,Consumer price index: General,144.8
4,Afghanistan,2014,Consumer price index: Food,101.7
4,Afghanistan,2015,Consumer price index: Food,100.8
4,Afghanistan,2016,Consumer price index: Food,106.5
4,Afghanistan,2017,Consumer price index: Food,113.9
8,Albania,1995,Consumer price index: General,40.7
8,Albania,2005,Consumer price index: General,86.7
8,Albania,2010,Consumer price index: General,100
8,Albania,2014,Consumer price index: General,109.3
8,Albania,2015,Consumer price index: General,111.4
8,Albania,2016,Consumer price index: General,112.8
8,Albania,2017,Consumer price index: General,115.1
8,Albania,2005,Consumer price index: Food,82.8
8,Albania,2010,Consumer price index: Food,100
8,Albania,2014,Consumer price index: Food,113.8
8,Albania,2015,Consumer price index: Food,118.8
8,Albania,2016,Consumer price index: Food,122.6
8,Albania,2017,Consumer price index: Food,127.3
12,Algeria,1995,Consumer price index: General,51.9
12,Algeria,2005,Consumer price index: General,81.8
12,Algeria,2010,Consumer price index: General,100
12,Algeria,2014,Consumer price index: General,120.9
12,Algeria,2015,Consumer price index: General,126.7
12,Algeria,2016,Consumer price index: General,134.8
12,Algeria,2017,Consumer price index: General,142.4
12,Algeria,2010,Consumer price index: Food,100
12,Algeria,2014,Consumer price index: Food,125.4
12,Algeria,2015,Consumer price index: Food,131.3
12,Algeria,2016,Consumer price index: Food,135.7
12,Algeria,2017,Consumer price index: Food,142.5
20,Andorra,2005,Consumer price index: General,89.6
20,Andorra,2010,Consumer price index: General,100
20,Andorra,2014,Consumer price index: General,104.4
20,Andorra,2015,Consumer price index: General,103.3
20,Andorra,2016,Consumer price index: General,102.8
20,Andorra,2017,Consumer price index: General,105.5
20,Andorra,2005,Consumer price index: Food,92
20,Andorra,2010,Consumer price index: Food,100
20,Andorra,2014,Consumer price index: Food,106.4
20,Andorra,2015,Consumer price index: Food,108.2
20,Andorra,2016,Consumer price index: Food,109.1
20,Andorra,2017,Consumer price index: Food,112.3
24,Angola,1995,Consumer price index: General,0
24,Angola,2005,Consumer price index: General,53.7
24,Angola,2010,Consumer price index: General,100
24,Angola,2014,Consumer price index: General,146
24,Angola,2015,Consumer price index: General,161.1
24,Angola,2016,Consumer price index: General,213.2
24,Angola,2017,Consumer price index: General,280.8
24,Angola,2005,Consumer price index: Food,45.5
24,Angola,2010,Consumer price index: Food,100
24,Angola,2014,Consumer price index: Food,153
24,Angola,2015,Consumer price index: Food,167.3
24,Angola,2016,Consumer price index: Food,222.6
24,Angola,2017,Consumer price index: Food,286.6
660,Anguilla,1995,Consumer price index: General,61
660,Anguilla,2005,Consumer price index: General,81.9
660,Anguilla,2010,Consumer price index: General,100
660,Anguilla,2014,Consumer price index: General,106.1
660,Anguilla,2015,Consumer price index: General,105.1
660,Anguilla,2016,Consumer price index: General,104.5
660,Anguilla,2010,Consumer price index: Food,100
660,Anguilla,2014,Consumer price index: Food,112.1
660,Anguilla,2015,Consumer price index: Food,111.4
660,Anguilla,2016,Consumer price index: Food,111
660,Anguilla,2017,Consumer price index: Food,112.3
28,Antigua and Barbuda,2005,Consumer price index: General,89.5
28,Antigua and Barbuda,2010,Consumer price index: General,100
28,Antigua and Barbuda,2014,Consumer price index: General,109.3
28,Antigua and Barbuda,2015,Consumer price index: General,110.3
28,Antigua and Barbuda,2016,Consumer price index: General,109.8
28,Antigua and Barbuda,2017,Consumer price index: General,112.5
32,Argentina,2017,Consumer price index: General,112.9
32,Argentina,2017,Consumer price index: Food,111.7
51,Armenia,1995,Consumer price index: General,44.3
51,Armenia,2005,Consumer price index: General,76.4
51,Armenia,2010,Consumer price index: General,100
51,Armenia,2014,Consumer price index: General,120.3
51,Armenia,2015,Consumer price index: General,124.8
51,Armenia,2016,Consumer price index: General,123
51,Armenia,2017,Consumer price index: General,124.2
51,Armenia,2010,Consumer price index: Food,100
51,Armenia,2014,Consumer price index: Food,123.3
51,Armenia,2015,Consumer price index: Food,127.1
51,Armenia,2016,Consumer price index: Food,122.9
51,Armenia,2017,Consumer price index: Food,127.9
533,Aruba,1995,Consumer price index: General,62.5
533,Aruba,2005,Consumer price index: General,84.1
533,Aruba,2010,Consumer price index: General,100
533,Aruba,2014,Consumer price index: General,102.9
533,Aruba,2015,Consumer price index: General,103.4
533,Aruba,2016,Consumer price index: General,102.5
533,Aruba,2017,Consumer price index: General,102
533,Aruba,2005,Consumer price index: Food,73.6
533,Aruba,2010,Consumer price index: Food,100
533,Aruba,2014,Consumer price index: Food,109.6
533,Aruba,2015,Consumer price index: Food,111.9
533,Aruba,2016,Consumer price index: Food,111.8
533,Aruba,2017,Consumer price index: Food,112.5
36,Australia,1995,Consumer price index: General,67.6
36,Australia,2005,Consumer price index: General,86.3
36,Australia,2010,Consumer price index: General,100
36,Australia,2014,Consumer price index: General,110.4
36,Australia,2015,Consumer price index: General,112
36,Australia,2016,Consumer price index: General,113.5
36,Australia,2017,Consumer price index: General,115.7
36,Australia,2010,Consumer price index: Food,100
36,Australia,2014,Consumer price index: Food,106.6
36,Australia,2015,Consumer price index: Food,107.6
36,Australia,2016,Consumer price index: Food,108.4
36,Australia,2017,Consumer price index: Food,109.2
40,Austria,1995,Consumer price index: General,77.1
40,Austria,2005,Consumer price index: General,91.4
40,Austria,2010,Consumer price index: General,100
40,Austria,2014,Consumer price index: General,109.7
40,Austria,2015,Consumer price index: General,110.7
40,Austria,2016,Consumer price index: General,111.7
40,Austria,2017,Consumer price index: General,114
40,Austria,1995,Consumer price index: Food,76.4
40,Austria,2005,Consumer price index: Food,88.1
40,Austria,2010,Consumer price index: Food,100
