ID,Country,Year,Series,Value
8,Albania,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2
8,Albania,2008,Gross domestic expenditure on R & D: Business enterprises (%),3.3
8,Albania,2008,Gross domestic expenditure on R & D: Government (%),80.8
8,Albania,2008,Gross domestic expenditure on R & D: Higher education (%),8.6
8,Albania,2008,Gross domestic expenditure on R & D: Funds from abroad (%),7.4
12,Algeria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1
16,American Samoa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4
16,American Samoa,2006,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4
32,Argentina,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4
32,Argentina,2005,Gross domestic expenditure on R & D: Business enterprises (%),31
32,Argentina,2005,Gross domestic expenditure on R & D: Government (%),59.6
32,Argentina,2005,Gross domestic expenditure on R & D: Higher education (%),5.7
32,Argentina,2005,Gross domestic expenditure on R & D: Private non-profit (%),3
32,Argentina,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.7
32,Argentina,2005,Gross domestic expenditure on R & D: Not distributed (%),0
32,Argentina,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5
32,Argentina,2008,Gross domestic expenditure on R & D: Business enterprises (%),26.5
32,Argentina,2008,Gross domestic expenditure on R & D: Government (%),67.6
32,Argentina,2008,Gross domestic expenditure on R & D: Higher education (%),4.4
32,Argentina,2008,Gross domestic expenditure on R & D: Private non-profit (%),1
32,Argentina,2008,Gross domestic expenditure on R & D: Funds from abroad (%),0.6
32,Argentina,2008,Gross domestic expenditure on R & D: Not distributed (%),0
32,Argentina,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6
32,Argentina,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6
32,Argentina,2015,Gross domestic expenditure on R & D: Business enterprises (%),17.2
32,Argentina,2015,Gross domestic expenditure on R & D: Government (%),76.4
32,Argentina,2015,Gross domestic expenditure on R & D: Higher education (%),2
32,Argentina,2015,Gross domestic expenditure on R & D: Private non-profit (%),1
32,Argentina,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.3
51,Armenia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3
51,Armenia,2005,Gross domestic expenditure on R & D: Government (%),77.5
51,Armenia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),4.7
51,Armenia,2005,Gross domestic expenditure on R & D: Not distributed (%),17.8
51,Armenia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2
51,Armenia,2010,Gross domestic expenditure on R & D: Government (%),84.5
51,Armenia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.7
51,Armenia,2010,Gross domestic expenditure on R & D: Not distributed (%),3.8
51,Armenia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2
51,Armenia,2016,Gross domestic expenditure on R & D: Government (%),72.9
51,Armenia,2016,Gross domestic expenditure on R & D: Funds from abroad (%),1.8
51,Armenia,2016,Gross domestic expenditure on R & D: Not distributed (%),25.2
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.3
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.4
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.9
36,Australia,2004,Gross domestic expenditure on R & D: Funds from abroad (%),2.9
36,Australia,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4
36,Australia,2008,Gross domestic expenditure on R & D: Business enterprises (%),61.9
36,Australia,2008,Gross domestic expenditure on R & D: Government (%),34.6
36,Australia,2008,Gross domestic expenditure on R & D: Higher education (%),0.1
36,Australia,2008,Gross domestic expenditure on R & D: Private non-profit (%),1.8
36,Australia,2008,Gross domestic expenditure on R & D: Funds from abroad (%),1.6
36,Australia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4
36,Australia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9
40,Austria,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2
40,Austria,2004,Gross domestic expenditure on R & D: Business enterprises (%),47.2
40,Austria,2004,Gross domestic expenditure on R & D: Government (%),32.6
40,Austria,2004,Gross domestic expenditure on R & D: Higher education (%),0.4
40,Austria,2004,Gross domestic expenditure on R & D: Private non-profit (%),0.5
40,Austria,2004,Gross domestic expenditure on R & D: Funds from abroad (%),19.4
40,Austria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4
40,Austria,2005,Gross domestic expenditure on R & D: Business enterprises (%),45.6
40,Austria,2005,Gross domestic expenditure on R & D: Government (%),35.9
40,Austria,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.4
40,Austria,2005,Gross domestic expenditure on R & D: Funds from abroad (%),18
40,Austria,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6
40,Austria,2009,Gross domestic expenditure on R & D: Business enterprises (%),47.1
40,Austria,2009,Gross domestic expenditure on R & D: Government (%),34.9
40,Austria,2009,Gross domestic expenditure on R & D: Higher education (%),0.7
40,Austria,2009,Gross domestic expenditure on R & D: Private non-profit (%),0.6
40,Austria,2009,Gross domestic expenditure on R & D: Funds from abroad (%),16.8
40,Austria,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7
40,Austria,2010,Gross domestic expenditure on R & D: Business enterprises (%),45.1
40,Austria,2010,Gross domestic expenditure on R & D: Government (%),38.3
40,Austria,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.5
40,Austria,2010,Gross domestic expenditure on R & D: Funds from abroad (%),16.1
40,Austria,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),3
40,Austria,2015,Gross domestic expenditure on R & D: Business enterprises (%),49.7
40,Austria,2015,Gross domestic expenditure on R & D: Government (%),32.6
