ID,Country,Year,Series,Value
4,Afghanistan,2005,Percentage of individuals using the internet,1.2
4,Afghanistan,2010,Percentage of individuals using the internet,4
4,Afghanistan,2014,Percentage of individuals using the internet,7
4,Afghanistan,2015,Percentage of individuals using the internet,8.3
4,Afghanistan,2016,Percentage of individuals using the internet,10.6
4,Afghanistan,2017,Percentage of individuals using the internet,11.4
8,Albania,2000,Percentage of individuals using the internet,0.1
8,Albania,2005,Percentage of individuals using the internet,6
8,Albania,2010,Percentage of individuals using the internet,45
8,Albania,2014,Percentage of individuals using the internet,60.1
8,Albania,2015,Percentage of individuals using the internet,63.3
8,Albania,2016,Percentage of individuals using the internet,66.4
8,Albania,2017,Percentage of individuals using the internet,71.8
12,Algeria,2000,Percentage of individuals using the internet,0.5
12,Algeria,2005,Percentage of individuals using the internet,5.8
12,Algeria,2010,Percentage of individuals using the internet,12.5
12,Algeria,2014,Percentage of individuals using the internet,29.5
12,Algeria,2015,Percentage of individuals using the internet,38.2
12,Algeria,2016,Percentage of individuals using the internet,42.9
12,Algeria,2017,Percentage of individuals using the internet,47.7
20,Andorra,2000,Percentage of individuals using the internet,10.5
20,Andorra,2005,Percentage of individuals using the internet,37.6
20,Andorra,2010,Percentage of individuals using the internet,81
20,Andorra,2014,Percentage of individuals using the internet,95.9
20,Andorra,2015,Percentage of individuals using the internet,96.9
20,Andorra,2016,Percentage of individuals using the internet,97.9
20,Andorra,2017,Percentage of individuals using the internet,98.9
24,Angola,2000,Percentage of individuals using the internet,0.1
24,Angola,2005,Percentage of individuals using the internet,1.1
24,Angola,2010,Percentage of individuals using the internet,2.8
24,Angola,2014,Percentage of individuals using the internet,10.2
24,Angola,2015,Percentage of individuals using the internet,12.4
24,Angola,2016,Percentage of individuals using the internet,13
24,Angola,2017,Percentage of individuals using the internet,14.3
660,Anguilla,2000,Percentage of individuals using the internet,22.4
660,Anguilla,2005,Percentage of individuals using the internet,29
660,Anguilla,2010,Percentage of individuals using the internet,49.6
660,Anguilla,2014,Percentage of individuals using the internet,70.4
660,Anguilla,2015,Percentage of individuals using the internet,76
660,Anguilla,2016,Percentage of individuals using the internet,81.6
660,Anguilla,2017,Percentage of individuals using the internet,81.6
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.5
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47
28,Antigua and Barbuda,2014,Percentage of individuals using the internet,67.8
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70
28,Antigua and Barbuda,2016,Percentage of individuals using the internet,73
28,Antigua and Barbuda,2017,Percentage of individuals using the internet,76
32,Argentina,2000,Percentage of individuals using the internet,7
32,Argentina,2005,Percentage of individuals using the internet,17.7
32,Argentina,2010,Percentage of individuals using the internet,45
32,Argentina,2014,Percentage of individuals using the internet,64.7
32,Argentina,2015,Percentage of individuals using the internet,68
32,Argentina,2016,Percentage of individuals using the internet,71
32,Argentina,2017,Percentage of individuals using the internet,75.8
51,Armenia,2000,Percentage of individuals using the internet,1.3
51,Armenia,2005,Percentage of individuals using the internet,5.3
51,Armenia,2010,Percentage of individuals using the internet,25
51,Armenia,2014,Percentage of individuals using the internet,54.6
51,Armenia,2015,Percentage of individuals using the internet,59.1
51,Armenia,2016,Percentage of individuals using the internet,64.3
51,Armenia,2017,Percentage of individuals using the internet,69.7
533,Aruba,2000,Percentage of individuals using the internet,15.4
533,Aruba,2005,Percentage of individuals using the internet,25.4
533,Aruba,2010,Percentage of individuals using the internet,62
533,Aruba,2014,Percentage of individuals using the internet,83.8
533,Aruba,2015,Percentage of individuals using the internet,88.7
533,Aruba,2016,Percentage of individuals using the internet,93.5
533,Aruba,2017,Percentage of individuals using the internet,97.2
36,Australia,2000,Percentage of individuals using the internet,46.8
36,Australia,2005,Percentage of individuals using the internet,63
36,Australia,2010,Percentage of individuals using the internet,76
36,Australia,2014,Percentage of individuals using the internet,84
36,Australia,2015,Percentage of individuals using the internet,84.6
36,Australia,2016,Percentage of individuals using the internet,86.5
36,Australia,2017,Percentage of individuals using the internet,86.5
40,Austria,2000,Percentage of individuals using the internet,33.7
40,Austria,2005,Percentage of individuals using the internet,58
40,Austria,2010,Percentage of individuals using the internet,75.2
40,Austria,2014,Percentage of individuals using the internet,81
40,Austria,2015,Percentage of individuals using the internet,83.9
40,Austria,2016,Percentage of individuals using the internet,84.3
40,Austria,2017,Percentage of individuals using the internet,87.9
31,Azerbaijan,2000,Percentage of individuals using the internet,0.1
31,Azerbaijan,2005,Percentage of individuals using the internet,8
31,Azerbaijan,2010,Percentage of individuals using the internet,46
31,Azerbaijan,2014,Percentage of individuals using the internet,75
31,Azerbaijan,2015,Percentage of individuals using the internet,77
31,Azerbaijan,2016,Percentage of individuals using the internet,78.2
31,Azerbaijan,2017,Percentage of individuals using the internet,79
44,Bahamas,2000,Percentage of individuals using the internet,8
44,Bahamas,2005,Percentage of individuals using the internet,25
44,Bahamas,2010,Percentage of individuals using the internet,43
44,Bahamas,2014,Percentage of individuals using the internet,76.9
44,Bahamas,2015,Percentage of individuals using the internet,78
44,Bahamas,2016,Percentage of individuals using the internet,80
44,Bahamas,2017,Percentage of individuals using the internet,85
48,Bahrain,2000,Percentage of individuals using the internet,6.2
48,Bahrain,2005,Percentage of individuals using the internet,21.3
48,Bahrain,2010,Percentage of individuals using the internet,55
48,Bahrain,2014,Percentage of individuals using the internet,90.5
48,Bahrain,2015,Percentage of individuals using the internet,93.5
48,Bahrain,2016,Percentage of individuals using the internet,95
48,Bahrain,2017,Percentage of individuals using the internet,95.9
50,Bangladesh,2000,Percentage of individuals using the internet,0.1
50,Bangladesh,2005,Percentage of individuals using the internet,0.2
50,Bangladesh,2010,Percentage of individuals using the internet,3.7
50,Bangladesh,2014,Percentage of individuals using the internet,13.9
50,Bangladesh,2015,Percentage of individuals using the internet,14.4
50,Bangladesh,2016,Percentage of individuals using the internet,18
50,Bangladesh,2017,Percentage of individuals using the internet,18
52,Barbados,2000,Percentage of individuals using the internet,4
52,Barbados,2005,Percentage of individuals using the internet,52.5
52,Barbados,2010,Percentage of individuals using the internet,65.1
52,Barbados,2014,Percentage of individuals using the internet,75.2
52,Barbados,2015,Percentage of individuals using the internet,76.1
52,Barbados,2016,Percentage of individuals using the internet,79.5
52,Barbados,2017,Percentage of individuals using the internet,81.8
112,Belarus,2000,Percentage of individuals using the internet,1.9
112,Belarus,2005,Percentage of individuals using the internet,9
112,Belarus,2010,Percentage of individuals using the internet,31.8
112,Belarus,2014,Percentage of individuals using the internet,59
112,Belarus,2015,Percentage of individuals using the internet,67.3
112,Belarus,2016,Percentage of individuals using the internet,71.1
112,Belarus,2017,Percentage of individuals using the internet,74.4
56,Belgium,2000,Percentage of individuals using the internet,29.4
56,Belgium,2005,Percentage of individuals using the internet,55.8
56,Belgium,2010,Percentage of individuals using the internet,75
56,Belgium,2014,Percentage of individuals using the internet,85
56,Belgium,2015,Percentage of individuals using the internet,85.1
56,Belgium,2016,Percentage of individuals using the internet,86.5
56,Belgium,2017,Percentage of individuals using the internet,87.7
84,Belize,2000,Percentage of individuals using the internet,6
84,Belize,2005,Percentage of individuals using the internet,17
84,Belize,2010,Percentage of individuals using the internet,28.2
84,Belize,2014,Percentage of individuals using the internet,38.7
84,Belize,2015,Percentage of individuals using the internet,41.6
84,Belize,2016,Percentage of individuals using the internet,44.6
84,Belize,2017,Percentage of individuals using the internet,47.1
204,Benin,2000,Percentage of individuals using the internet,0.2
204,Benin,2005,Percentage of individuals using the internet,1.3
204,Benin,2010,Percentage of individuals using the internet,3.1
204,Benin,2014,Percentage of individuals using the internet,6
204,Benin,2015,Percentage of individuals using the internet,11.3
204,Benin,2016,Percentage of individuals using the internet,12
204,Benin,2017,Percentage of individuals using the internet,14.1
60,Bermuda,2000,Percentage of individuals using the internet,42.9
60,Bermuda,2005,Percentage of individuals using the internet,65.4
60,Bermuda,2010,Percentage of individuals using the internet,84.2
60,Bermuda,2014,Percentage of individuals using the internet,96.8
60,Bermuda,2015,Percentage of individuals using the internet,98.3
60,Bermuda,2016,Percentage of individuals using the internet,98
60,Bermuda,2017,Percentage of individuals using the internet,98.4
64,Bhutan,2000,Percentage of individuals using the internet,0.4
64,Bhutan,2005,Percentage of individuals using the internet,3.8
64,Bhutan,2010,Percentage of individuals using the internet,13.6
64,Bhutan,2014,Percentage of individuals using the internet,30.3
64,Bhutan,2015,Percentage of individuals using the internet,39.8
64,Bhutan,2016,Percentage of individuals using the internet,41.8
64,Bhutan,2017,Percentage of individuals using the internet,48.1
68,Bolivia (Plurin. State of),2000,Percentage of individuals using the internet,1.4
68,Bolivia (Plurin. State of),2005,Percentage of individuals using the internet,5.2
68,Bolivia (Plurin. State of),2010,Percentage of individuals using the internet,22.4
68,Bolivia (Plurin. State of),2014,Percentage of individuals using the internet,34.6
68,Bolivia (Plurin. State of),2015,Percentage of individuals using the internet,35.6
68,Bolivia (Plurin. State of),2016,Percentage of individuals using the internet,39.7
68,Bolivia (Plurin. State of),2017,Percentage of individuals using the internet,43.8
70,Bosnia and Herzegovina,2000,Percentage of individuals using the internet,1.1
70,Bosnia and Herzegovina,2005,Percentage of individuals using the internet,21.3
70,Bosnia and Herzegovina,2010,Percentage of individuals using the internet,42.8
70,Bosnia and Herzegovina,2014,Percentage of individuals using the internet,49.9
70,Bosnia and Herzegovina,2015,Percentage of individuals using the internet,52.6
70,Bosnia and Herzegovina,2016,Percentage of individuals using the internet,60.3
70,Bosnia and Herzegovina,2017,Percentage of individuals using the internet,69.5
72,Botswana,2000,Percentage of individuals using the internet,2.9
72,Botswana,2005,Percentage of individuals using the internet,3.3
72,Botswana,2010,Percentage of individuals using the internet,6
72,Botswana,2014,Percentage of individuals using the internet,36.7
72,Botswana,2015,Percentage of individuals using the internet,37.3
72,Botswana,2016,Percentage of individuals using the internet,39.4
72,Botswana,2017,Percentage of individuals using the internet,41.4
76,Brazil,2000,Percentage of individuals using the internet,2.9
76,Brazil,2005,Percentage of individuals using the internet,21
76,Brazil,2010,Percentage of individuals using the internet,40.7
76,Brazil,2014,Percentage of individuals using the internet,54.6
76,Brazil,2015,Percentage of individuals using the internet,58.3
76,Brazil,2016,Percentage of individuals using the internet,60.9
76,Brazil,2017,Percentage of individuals using the internet,67.5
92,British Virgin Islands,2005,Percentage of individuals using the internet,18.9
92,British Virgin Islands,2010,Percentage of individuals using the internet,37
92,British Virgin Islands,2014,Percentage of individuals using the internet,37.6
92,British Virgin Islands,2015,Percentage of individuals using the internet,37.6
92,British Virgin Islands,2016,Percentage of individuals using the internet,37.6
96,Brunei Darussalam,2000,Percentage of individuals using the internet,9
96,Brunei Darussalam,2005,Percentage of individuals using the internet,36.5
96,Brunei Darussalam,2010,Percentage of individuals using the internet,53
96,Brunei Darussalam,2014,Percentage of individuals using the internet,68.8
96,Brunei Darussalam,2015,Percentage of individuals using the internet,71.2
96,Brunei Darussalam,2016,Percentage of individuals using the internet,90
96,Brunei Darussalam,2017,Percentage of individuals using the internet,94.9
100,Bulgaria,2000,Percentage of individuals using the internet,5.4
100,Bulgaria,2005,Percentage of individuals using the internet,20
100,Bulgaria,2010,Percentage of individuals using the internet,46.2
100,Bulgaria,2014,Percentage of individuals using the internet,55.5
100,Bulgaria,2015,Percentage of individuals using the internet,56.7
100,Bulgaria,2016,Percentage of individuals using the internet,59.8
100,Bulgaria,2017,Percentage of individuals using the internet,63.4
854,Burkina Faso,2000,Percentage of individuals using the internet,0.1
854,Burkina Faso,2005,Percentage of individuals using the internet,0.5
854,Burkina Faso,2010,Percentage of individuals using the internet,2.4
854,Burkina Faso,2014,Percentage of individuals using the internet,9.4
854,Burkina Faso,2015,Percentage of individuals using the internet,11.4
854,Burkina Faso,2016,Percentage of individuals using the internet,14
854,Burkina Faso,2017,Percentage of individuals using the internet,15.9
108,Burundi,2000,Percentage of individuals using the internet,0.1
108,Burundi,2005,Percentage of individuals using the internet,0.5
108,Burundi,2010,Percentage of individuals using the internet,1
108,Burundi,2014,Percentage of individuals using the internet,1.4
108,Burundi,2015,Percentage of individuals using the internet,4.9
108,Burundi,2016,Percentage of individuals using the internet,5.2
108,Burundi,2017,Percentage of individuals using the internet,5.6
132,Cabo Verde,2000,Percentage of individuals using the internet,1.8
132,Cabo Verde,2005,Percentage of individuals using the internet,6.1
132,Cabo Verde,2010,Percentage of individuals using the internet,30
132,Cabo Verde,2014,Percentage of individuals using the internet,40.3
132,Cabo Verde,2015,Percentage of individuals using the internet,42.7
132,Cabo Verde,2016,Percentage of individuals using the internet,50.3
132,Cabo Verde,2017,Percentage of individuals using the internet,57.2
116,Cambodia,2000,Percentage of individuals using the internet,0
116,Cambodia,2005,Percentage of individuals using the internet,0.3
116,Cambodia,2010,Percentage of individuals using the internet,1.3
116,Cambodia,2014,Percentage of individuals using the internet,14
116,Cambodia,2015,Percentage of individuals using the internet,22.3
116,Cambodia,2016,Percentage of individuals using the internet,32.4
116,Cambodia,2017,Percentage of individuals using the internet,34
120,Cameroon,2000,Percentage of individuals using the internet,0.3
120,Cameroon,2005,Percentage of individuals using the internet,1.4
120,Cameroon,2010,Percentage of individuals using the internet,4.3
120,Cameroon,2014,Percentage of individuals using the internet,16.2
120,Cameroon,2015,Percentage of individuals using the internet,20.7
120,Cameroon,2016,Percentage of individuals using the internet,23.2
120,Cameroon,2017,Percentage of individuals using the internet,23.2
124,Canada,2000,Percentage of individuals using the internet,51.3
124,Canada,2005,Percentage of individuals using the internet,71.7
