ID,Country,Year,Series,Value
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.4
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3
4,Afghanistan,2010,Expenditure by level of education: primary (as % of government expenditure),62.1
4,Afghanistan,2010,Expenditure by level of education: secondary (as % of government expenditure),26.7
4,Afghanistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),9
4,Afghanistan,2010,Public expenditure on education (% of government expenditure),17.1
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.5
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.6
4,Afghanistan,2015,Expenditure by level of education: primary (as % of government expenditure),56.7
4,Afghanistan,2015,Expenditure by level of education: secondary (as % of government expenditure),24.4
4,Afghanistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),16
4,Afghanistan,2015,Public expenditure on education (% of government expenditure),12.5
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.2
8,Albania,2005,Public expenditure on education (% of government expenditure),11.4
8,Albania,2005,Public expenditure on education (% of GDP),3.2
8,Albania,2007,Public expenditure on education (% of government expenditure),11.2
8,Albania,2007,Public expenditure on education (% of GDP),3.3
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.5
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.1
8,Albania,2015,Expenditure by level of education: primary (as % of government expenditure),56.8
8,Albania,2015,Expenditure by level of education: secondary (as % of government expenditure),21.6
8,Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.2
8,Albania,2015,Public expenditure on education (% of government expenditure),11.3
8,Albania,2015,Public expenditure on education (% of GDP),3.5
8,Albania,2017,Expenditure by level of education: primary (as % of government expenditure),60.2
8,Albania,2017,Expenditure by level of education: secondary (as % of government expenditure),18.6
8,Albania,2017,Expenditure by level of education: tertiary (as % of government expenditure),19.5
12,Algeria,2008,Expenditure by level of education: tertiary (as % of government expenditure),27
12,Algeria,2008,Public expenditure on education (% of government expenditure),11.4
12,Algeria,2008,Public expenditure on education (% of GDP),4.3
20,Andorra,2005,Expenditure by level of education: pre-primary (as % of government expenditure),16.9
20,Andorra,2005,Expenditure by level of education: primary (as % of government expenditure),24.1
20,Andorra,2005,Expenditure by level of education: secondary (as % of government expenditure),20.6
20,Andorra,2005,Expenditure by level of education: tertiary (as % of government expenditure),3.9
20,Andorra,2005,Public expenditure on education (% of GDP),1.6
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.7
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.9
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9
