ID,Country,Year,Series,Value
4,Afghanistan,2010,Tourism expenditure (millions of US dollars),147
4,Afghanistan,2015,Tourism expenditure (millions of US dollars),87
4,Afghanistan,2016,Tourism expenditure (millions of US dollars),69
4,Afghanistan,2017,Tourism expenditure (millions of US dollars),19
8,Albania,2010,Tourist/visitor arrivals (thousands),"2,191"
8,Albania,2015,Tourist/visitor arrivals (thousands),"3,784"
8,Albania,2016,Tourist/visitor arrivals (thousands),"4,070"
8,Albania,2017,Tourist/visitor arrivals (thousands),"4,643"
8,Albania,1995,Tourism expenditure (millions of US dollars),70
8,Albania,2005,Tourism expenditure (millions of US dollars),880
8,Albania,2010,Tourism expenditure (millions of US dollars),"1,778"
8,Albania,2015,Tourism expenditure (millions of US dollars),"1,613"
8,Albania,2016,Tourism expenditure (millions of US dollars),"1,820"
8,Albania,2017,Tourism expenditure (millions of US dollars),"2,049"
12,Algeria,1995,Tourist/visitor arrivals (thousands),520
12,Algeria,2005,Tourist/visitor arrivals (thousands),"1,443"
12,Algeria,2010,Tourist/visitor arrivals (thousands),"2,070"
12,Algeria,2015,Tourist/visitor arrivals (thousands),"1,710"
12,Algeria,2016,Tourist/visitor arrivals (thousands),"2,039"
12,Algeria,2017,Tourist/visitor arrivals (thousands),"2,451"
12,Algeria,2005,Tourism expenditure (millions of US dollars),477
12,Algeria,2010,Tourism expenditure (millions of US dollars),324
12,Algeria,2015,Tourism expenditure (millions of US dollars),347
12,Algeria,2016,Tourism expenditure (millions of US dollars),246
12,Algeria,2017,Tourism expenditure (millions of US dollars),172
16,American Samoa,1995,Tourist/visitor arrivals (thousands),34
16,American Samoa,2005,Tourist/visitor arrivals (thousands),25
16,American Samoa,2010,Tourist/visitor arrivals (thousands),23
16,American Samoa,2015,Tourist/visitor arrivals (thousands),20
16,American Samoa,2016,Tourist/visitor arrivals (thousands),20
16,American Samoa,2017,Tourist/visitor arrivals (thousands),20
20,Andorra,2005,Tourist/visitor arrivals (thousands),"2,418"
20,Andorra,2010,Tourist/visitor arrivals (thousands),"1,808"
20,Andorra,2015,Tourist/visitor arrivals (thousands),"2,663"
20,Andorra,2016,Tourist/visitor arrivals (thousands),"2,819"
20,Andorra,2017,Tourist/visitor arrivals (thousands),"3,003"
24,Angola,1995,Tourist/visitor arrivals (thousands),9
24,Angola,2005,Tourist/visitor arrivals (thousands),210
24,Angola,2010,Tourist/visitor arrivals (thousands),425
24,Angola,2015,Tourist/visitor arrivals (thousands),592
24,Angola,2016,Tourist/visitor arrivals (thousands),397
24,Angola,2017,Tourist/visitor arrivals (thousands),261
24,Angola,1995,Tourism expenditure (millions of US dollars),27
24,Angola,2005,Tourism expenditure (millions of US dollars),103
24,Angola,2010,Tourism expenditure (millions of US dollars),726
24,Angola,2015,Tourism expenditure (millions of US dollars),"1,171"
24,Angola,2016,Tourism expenditure (millions of US dollars),628
24,Angola,2017,Tourism expenditure (millions of US dollars),884
660,Anguilla,1995,Tourist/visitor arrivals (thousands),39
660,Anguilla,2005,Tourist/visitor arrivals (thousands),62
660,Anguilla,2010,Tourist/visitor arrivals (thousands),62
660,Anguilla,2015,Tourist/visitor arrivals (thousands),73
660,Anguilla,2016,Tourist/visitor arrivals (thousands),79
660,Anguilla,2017,Tourist/visitor arrivals (thousands),68
660,Anguilla,1995,Tourism expenditure (millions of US dollars),50
660,Anguilla,2005,Tourism expenditure (millions of US dollars),86
660,Anguilla,2010,Tourism expenditure (millions of US dollars),99
660,Anguilla,2015,Tourism expenditure (millions of US dollars),142
660,Anguilla,2016,Tourism expenditure (millions of US dollars),143
660,Anguilla,2017,Tourism expenditure (millions of US dollars),149
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),220
